Customer_ID,Age,Income,Spending_Score,Gender,Education_Level,Marital_Status,Occupation,Home_Ownership,Location,Number_of_Children,Number_of_Vehicles,Preferred_Channel,Membership_Level,Preferred_Brand,Annual_Spending
22,44.75623187,84493.67534,18,Female,PhD,Married,Sales,Own,Urban,1,0,Both,VIP,Brand_C,1550.67403
23,36.89268906,21036.3591,65,Female,High School,Divorced,Technician,Mortgage,Suburban,2,2,Both,Basic,Brand_C,6659.256541
24,41.32333826,53216.36086,7,Male,Master,Married,Executive,Mortgage,Suburban,1,0,In-store,Basic,Brand_B,10388.2976
25,52.77719326,54994.16643,85,Female,Bachelor,Divorced,Others,Own,Suburban,2,2,In-store,VIP,Brand_B,6973.278786
26,37.27714389,43883.93147,83,Male,High School,Single,Technician,Mortgage,Suburban,0,1,Online,Premium,Brand_B,-4.363972245
27,26.78842873,48152.58775,80,Female,PhD,Single,Executive,Own,Urban,4,2,Both,VIP,Brand_A,8135.536194
28,51.02813153,47006.74594,41,Female,High School,Married,Sales,Own,Urban,4,2,Online,VIP,Brand_A,7696.234054
29,29.64798698,52073.00152,44,Female,High School,Divorced,Sales,Mortgage,Suburban,1,1,In-store,Premium,Brand_C,5849.2145
30,37.80342189,69111.57034,15,Female,Bachelor,Single,Executive,Mortgage,Suburban,2,0,Online,VIP,Brand_C,5986.238759
31,22.99712187,37274.7351,25,Male,Master,Married,Technician,Own,Rural,4,2,Both,Basic,Brand_C,3755.692707
32,34.61066434,67633.8239,90,Male,Master,Single,Sales,Rent,Urban,4,2,Online,Premium,Brand_C,4323.079366
33,12.05777455,75772.56075,90,Male,Bachelor,Married,Others,Rent,Rural,1,0,Online,VIP,Brand_A,4217.203534
34,26.36866869,37711.01896,30,Female,High School,Divorced,Executive,Own,Urban,4,1,Both,VIP,Brand_A,3159.368953
35,34.63686105,26968.91999,98,Female,High School,Divorced,Professional,Own,Suburban,4,1,In-store,VIP,Brand_A,7802.900346
36,31.80992518,67528.64992,3,Female,PhD,Divorced,Service,Own,Urban,3,0,In-store,VIP,Brand_C,1645.423678
37,29.39616337,77347.1857,30,Female,Bachelor,Divorced,Others,Own,Suburban,4,0,Online,Premium,Brand_A,4451.256574
38,41.08465623,33164.51516,49,Male,Master,Married,Professional,Mortgage,Urban,3,1,Both,VIP,Brand_C,2183.72928
39,40.93532094,79393.04982,20,Female,PhD,Single,Executive,Own,Suburban,3,0,Both,Premium,Brand_C,4803.885563
40,39.8270584,59000.47543,99,Male,Bachelor,Single,Technician,Mortgage,Rural,4,2,In-store,Basic,Brand_C,3910.951335
41,49.25792489,26078.01339,76,Male,Master,Single,Professional,Rent,Suburban,3,0,Both,Premium,Brand_A,3174.18845
42,32.26372509,59754.48774,87,Male,High School,Married,Others,Own,Urban,0,2,Online,VIP,Brand_B,7786.640615
43,32.99473261,45941.75629,97,Male,Bachelor,Single,Craftsman,Mortgage,Urban,0,1,In-store,Premium,Brand_B,6245.356047
44,13.84196473,59964.78993,13,Male,Bachelor,Divorced,Sales,Rent,Suburban,0,0,In-store,Premium,Brand_B,5359.287048
45,46.46212605,70661.41226,48,Male,Bachelor,Divorced,Technician,Mortgage,Rural,0,1,Online,VIP,Brand_B,2453.987039
46,32.26753647,27142.41002,84,Male,PhD,Single,Executive,Rent,Rural,0,0,Online,Premium,Brand_B,5370.488549
47,32.21788793,50425.28186,61,Male,High School,Married,Technician,Mortgage,Suburban,4,0,Online,Basic,Brand_C,7940.427361
48,23.82683395,81266.19404,9,Male,Bachelor,Divorced,Others,Own,Urban,0,0,In-store,VIP,Brand_B,3410.440452
49,37.12936943,87681.8993,36,Male,Bachelor,Married,Service,Rent,Rural,3,0,Both,VIP,Brand_C,1212.729196
50,34.68658581,66905.68899,30,Male,High School,Divorced,Others,Rent,Rural,4,0,Online,Basic,Brand_C,3167.843106
51,37.38832474,75929.87064,87,Female,PhD,Married,Technician,Own,Rural,3,2,Both,Basic,Brand_C,3205.691102
52,47.73427919,49369.50665,80,Female,High School,Married,Technician,Rent,Urban,0,1,Both,Premium,Brand_A,7955.110227
53,16.679485,27223.28143,26,Female,PhD,Single,Sales,Rent,Suburban,1,0,In-store,Premium,Brand_B,5686.385094
54,35.12164974,70081.32287,98,Male,High School,Married,Craftsman,Mortgage,Rural,3,2,Online,Basic,Brand_A,5500.306404
55,36.30843675,82865.66823,61,Female,Bachelor,Divorced,Executive,Rent,Rural,0,0,Online,VIP,Brand_A,4464.672272
56,37.82524348,44170.59842,5,Female,High School,Divorced,Executive,Rent,Urban,2,1,In-store,Premium,Brand_C,5369.570425
57,20.45305247,68983.03373,3,Male,PhD,Single,Others,Rent,Suburban,0,1,Online,Basic,Brand_A,6977.263487
58,40.6603427,59434.80879,58,Male,PhD,Divorced,Craftsman,Mortgage,Rural,3,2,In-store,VIP,Brand_C,5627.840262
59,41.82005433,46835.34118,2,Male,Master,Married,Craftsman,Mortgage,Suburban,3,1,In-store,Premium,Brand_B,2879.687456
60,38.10283098,49008.77607,9,Female,Master,Single,Service,Own,Urban,2,2,Online,Premium,Brand_C,2773.958727
61,43.90027535,68058.81807,6,Female,Bachelor,Married,Clerical,Own,Urban,3,1,In-store,Basic,Brand_C,8384.226419
62,33.31773049,36613.9835,82,Female,Bachelor,Married,Craftsman,Own,Rural,0,1,Online,Premium,Brand_A,6621.207454
63,32.53814213,97777.62753,99,Male,Bachelor,Married,Technician,Mortgage,Urban,3,0,Both,VIP,Brand_A,7228.487606
64,14.70386123,16077.61718,7,Female,PhD,Divorced,Executive,Own,Urban,2,2,In-store,Basic,Brand_B,3984.480556
65,34.12557212,4295.338875,79,Male,PhD,Single,Professional,Mortgage,Urban,4,0,Both,Basic,Brand_B,3937.13435
66,38.17479389,61796.26762,50,Female,PhD,Divorced,Technician,Rent,Urban,2,0,In-store,Premium,Brand_A,4811.395275
67,15.98992507,45897.64876,5,Female,Bachelor,Married,Service,Own,Suburban,0,2,In-store,Premium,Brand_A,1064.35191
68,26.4752634,48947.68026,45,Male,Master,Single,Others,Rent,Rural,4,2,Online,Basic,Brand_A,5483.039024
69,28.98852614,67529.54638,50,Male,PhD,Married,Executive,Mortgage,Rural,0,2,In-store,Basic,Brand_A,5519.492061
70,56.62756933,68673.47514,70,Female,High School,Divorced,Sales,Rent,Suburban,3,2,Online,Premium,Brand_A,4427.952041
71,51.72823351,78976.96422,69,Female,Bachelor,Married,Others,Own,Rural,3,2,Online,Premium,Brand_A,7214.256991
72,34.37337905,78449.73041,42,Male,Bachelor,Married,Craftsman,Own,Suburban,4,0,In-store,Basic,Brand_C,4601.65509
73,26.82835646,55764.20226,43,Male,Master,Single,Executive,Own,Suburban,1,0,In-store,VIP,Brand_B,3397.086005
74,29.9243066,56098.78375,83,Female,PhD,Single,Sales,Rent,Rural,3,1,Both,Basic,Brand_A,5505.828405
75,13.2195001,86308.37306,17,Female,PhD,Single,Others,Own,Rural,3,2,Both,VIP,Brand_C,2974.542234
76,46.10189501,20210.50559,2,Female,PhD,Married,Executive,Own,Rural,1,0,In-store,Premium,Brand_A,4185.811325
77,48.84445482,33635.79531,15,Male,High School,Single,Executive,Own,Rural,2,1,Online,Basic,Brand_B,-376.2673748
78,38.09479799,16654.69151,94,Male,Bachelor,Single,Sales,Rent,Urban,4,0,In-store,Premium,Brand_B,5067.452493
79,36.46010361,21419.19457,81,Male,PhD,Divorced,Clerical,Own,Urban,4,0,Both,Basic,Brand_C,2919.768719
80,36.75892432,22119.21082,50,Male,Master,Single,Executive,Own,Urban,3,2,In-store,Basic,Brand_A,8886.970842
81,21.35817566,71328.41524,65,Male,PhD,Single,Service,Mortgage,Urban,3,0,In-store,VIP,Brand_A,4084.779076
82,47.7397284,33550.5744,89,Male,Master,Married,Technician,Rent,Rural,3,1,Both,Premium,Brand_A,4260.58632
83,29.65381208,80701.46747,44,Male,PhD,Single,Others,Mortgage,Urban,3,0,Online,Basic,Brand_C,5758.243983
84,47.32698898,46499.36875,75,Female,PhD,Divorced,Professional,Mortgage,Urban,3,1,Online,VIP,Brand_B,3737.344727
85,15.44027465,26101.68932,36,Female,Master,Married,Craftsman,Mortgage,Suburban,4,2,Both,Basic,Brand_A,2178.286709
86,50.60351938,79059.42107,29,Male,Master,Married,Professional,Rent,Rural,3,2,Both,Premium,Brand_C,7616.72416
87,20.26957723,59972.70875,49,Male,PhD,Divorced,Technician,Own,Urban,3,2,In-store,VIP,Brand_C,4134.505174
88,30.70464782,68714.8144,31,Male,Bachelor,Married,Sales,Rent,Rural,0,1,Online,VIP,Brand_A,3801.287398
89,29.20171253,54358.11975,40,Female,Master,Single,Service,Own,Suburban,3,1,Online,Premium,Brand_C,7287.897805
90,48.10794381,37212.56922,32,Male,High School,Divorced,Craftsman,Rent,Suburban,1,2,Online,VIP,Brand_A,6277.428593
91,34.85518923,52213.53606,38,Male,High School,Single,Craftsman,Own,Urban,3,1,Both,Basic,Brand_B,3909.795407
92,41.18300148,42489.83867,55,Female,PhD,Single,Craftsman,Mortgage,Rural,2,0,In-store,VIP,Brand_B,6392.240298
93,56.73800741,45056.13554,65,Male,PhD,Married,Clerical,Own,Urban,4,2,Both,VIP,Brand_B,5483.094208
94,41.13766157,64174.21363,26,Female,PhD,Single,Executive,Rent,Rural,2,1,In-store,Premium,Brand_C,6147.233404
95,43.50981983,64690.62591,79,Female,Bachelor,Single,Service,Mortgage,Rural,3,0,In-store,VIP,Brand_C,4740.20732
96,32.3255407,61121.59909,34,Male,Bachelor,Married,Professional,Own,Rural,0,1,Both,Premium,Brand_C,7734.504669
97,32.36666822,67277.02863,29,Female,PhD,Single,Service,Mortgage,Suburban,1,2,In-store,VIP,Brand_B,3188.157779
98,31.96360289,36782.62568,22,Female,Bachelor,Single,Craftsman,Rent,Rural,1,2,In-store,VIP,Brand_B,3311.367469
99,27.33694702,78263.01683,34,Female,Master,Married,Others,Own,Suburban,4,1,Online,VIP,Brand_C,3949.113173
100,34.66053895,66917.78942,73,Female,Bachelor,Divorced,Others,Rent,Urban,0,2,In-store,Basic,Brand_A,1867.566779
101,27.58961021,77601.30133,74,Female,High School,Divorced,Sales,Rent,Rural,2,0,Both,Basic,Brand_A,7847.954872
102,26.9477173,58340.78608,8,Male,High School,Divorced,Others,Own,Suburban,4,1,Both,VIP,Brand_C,4418.296636
103,19.15693381,27443.57478,97,Female,High School,Single,Sales,Mortgage,Urban,2,2,Online,VIP,Brand_C,5262.140132
104,39.96565152,58722.23626,46,Female,Master,Divorced,Craftsman,Own,Urban,0,0,Both,VIP,Brand_C,4294.183634
105,28.15091219,90497.38437,2,Male,Bachelor,Single,Sales,Mortgage,Rural,1,1,Both,Basic,Brand_A,4283.29649
106,36.69131946,43827.37754,61,Female,PhD,Divorced,Professional,Rent,Urban,1,2,Online,Basic,Brand_B,5589.197674
107,39.13709728,32330.60382,13,Male,High School,Single,Sales,Mortgage,Rural,2,1,Both,Premium,Brand_B,3725.25175
108,32.10724939,75964.47016,88,Male,Bachelor,Single,Sales,Own,Rural,3,0,Both,Premium,Brand_A,8569.750713
109,38.00367204,30201.84988,19,Male,High School,Divorced,Craftsman,Rent,Urban,2,0,Both,Premium,Brand_B,6193.382063
110,39.88703371,76041.24474,65,Male,Bachelor,Divorced,Professional,Rent,Suburban,3,0,Online,VIP,Brand_A,3262.603831
111,26.70391582,89972.69081,44,Female,Bachelor,Married,Clerical,Mortgage,Urban,2,0,Online,Basic,Brand_A,2520.247091
112,57.79225367,32771.48733,81,Male,High School,Single,Sales,Rent,Rural,4,0,Both,Basic,Brand_C,8508.474784
113,34.01292899,54407.72671,91,Male,PhD,Single,Technician,Mortgage,Urban,2,1,In-store,Basic,Brand_B,8455.086068
114,39.42045255,37626.07482,89,Female,Master,Married,Professional,Own,Urban,3,0,Both,VIP,Brand_A,4707.083221
115,37.94530538,63959.15382,20,Male,Bachelor,Married,Executive,Mortgage,Suburban,3,0,In-store,VIP,Brand_B,7255.263641
116,19.98367387,68077.65792,53,Male,Bachelor,Married,Professional,Rent,Suburban,2,2,In-store,Premium,Brand_B,3883.601455
117,32.45684525,46317.75216,60,Female,PhD,Married,Service,Rent,Suburban,3,2,Online,VIP,Brand_C,3980.467476
118,51.95327678,46513.37402,33,Female,Bachelor,Single,Service,Mortgage,Rural,4,1,In-store,Premium,Brand_A,5148.49122
119,24.09536304,81030.51858,26,Male,Master,Divorced,Technician,Rent,Rural,0,2,Both,Basic,Brand_A,5936.034797
120,41.71761786,80443.90973,6,Female,High School,Married,Service,Rent,Suburban,2,0,Online,Basic,Brand_A,5122.371439
121,41.78123518,61366.20328,86,Male,Bachelor,Married,Craftsman,Own,Urban,4,2,In-store,VIP,Brand_B,3890.731481
122,31.19399427,37526.39386,1,Male,Master,Single,Professional,Own,Urban,4,0,Both,Premium,Brand_B,1422.213441
123,34.38354063,43109.2691,26,Female,Bachelor,Single,Technician,Mortgage,Urban,1,1,Online,Premium,Brand_C,8029.409991
124,46.05766662,84890.47944,88,Male,Master,Divorced,Clerical,Mortgage,Urban,2,0,In-store,VIP,Brand_C,3223.032721
125,38.36046839,78493.76233,85,Male,Master,Divorced,Craftsman,Own,Suburban,4,2,Online,Premium,Brand_B,6524.1062
126,48.60121808,56734.03809,3,Male,PhD,Single,Professional,Own,Urban,1,0,Online,Basic,Brand_A,7227.553562
127,39.26997941,48888.04409,56,Male,Master,Single,Executive,Rent,Urban,0,0,Both,Basic,Brand_A,5845.240437
128,37.44029932,49903.83978,14,Male,PhD,Single,Others,Mortgage,Rural,3,1,Online,Basic,Brand_A,5838.563745
129,53.12417357,79695.37422,75,Female,PhD,Divorced,Technician,Own,Suburban,4,0,In-store,Premium,Brand_B,4809.788604
130,34.46288388,71914.58934,13,Female,PhD,Single,Service,Mortgage,Rural,3,2,Both,Premium,Brand_B,4112.39547
131,34.21515996,51036.37917,42,Female,Bachelor,Divorced,Technician,Own,Suburban,4,1,Online,Premium,Brand_A,2963.606319
132,38.57237049,41351.39969,55,Female,PhD,Single,Clerical,Mortgage,Urban,3,0,Online,Premium,Brand_B,1485.120845
133,25.96111547,52782.35956,84,Male,PhD,Married,Executive,Mortgage,Suburban,1,1,Online,Premium,Brand_C,5284.092257
134,44.92184478,52199.07948,68,Female,Master,Single,Executive,Mortgage,Suburban,3,2,In-store,Basic,Brand_A,5507.592194
135,40.66602075,41181.92164,65,Male,PhD,Married,Executive,Mortgage,Urban,1,1,Online,VIP,Brand_B,5152.394775
136,37.93866979,9089.79679,37,Female,Bachelor,Married,Service,Rent,Suburban,2,1,Both,VIP,Brand_A,2814.065416
137,30.22332786,71997.93234,34,Female,PhD,Divorced,Service,Rent,Urban,2,1,In-store,Premium,Brand_B,6736.969849
138,27.44453144,45724.69034,14,Female,Master,Married,Craftsman,Mortgage,Rural,4,0,In-store,VIP,Brand_B,7501.414076
139,27.17220044,79047.71575,15,Female,High School,Married,Professional,Own,Rural,0,0,Online,Premium,Brand_B,5547.537763
140,38.52842816,52463.65791,32,Female,Bachelor,Single,Service,Mortgage,Suburban,1,0,In-store,Premium,Brand_B,5865.886262
141,40.78755608,60956.05152,56,Male,Master,Married,Sales,Mortgage,Urban,1,0,Online,Basic,Brand_A,6561.101637
142,32.127569,68540.01458,36,Male,High School,Divorced,Service,Mortgage,Suburban,0,1,Online,VIP,Brand_B,5740.753884
143,39.48705264,66719.969,47,Female,PhD,Married,Others,Mortgage,Urban,4,0,Online,Basic,Brand_C,3836.563543
144,60.01811716,65016.01076,47,Male,PhD,Single,Sales,Rent,Rural,0,1,Online,VIP,Brand_C,5188.121431
145,32.93067944,99329.96693,8,Male,Master,Divorced,Sales,Mortgage,Urban,4,2,Online,Premium,Brand_C,6677.602692
146,46.06390487,40525.81755,90,Male,Master,Single,Sales,Mortgage,Suburban,2,2,In-store,Premium,Brand_B,5208.888004
147,29.84483032,52049.32154,68,Female,Master,Divorced,Executive,Mortgage,Rural,3,0,In-store,Basic,Brand_C,3940.804122
148,34.20484067,59558.15438,86,Male,PhD,Divorced,Technician,Rent,Rural,2,1,In-store,Premium,Brand_B,5707.164054
149,27.26555091,53707.47777,43,Female,PhD,Single,Executive,Own,Rural,0,2,In-store,Basic,Brand_B,3900.49915
150,37.2602341,66522.0594,90,Male,PhD,Single,Craftsman,Rent,Suburban,0,0,Online,Premium,Brand_C,7470.617946
151,23.52547181,44927.69202,5,Male,High School,Married,Technician,Mortgage,Suburban,1,0,Online,Premium,Brand_A,5437.476998
152,31.36822622,28085.78241,41,Male,Bachelor,Single,Executive,Mortgage,Suburban,3,2,In-store,Premium,Brand_B,6603.854968
153,47.32104375,54319.54272,38,Female,High School,Married,Craftsman,Mortgage,Urban,2,0,In-store,Basic,Brand_C,2399.292622
154,23.94719953,75832.41723,6,Female,PhD,Single,Service,Own,Suburban,1,1,Online,VIP,Brand_C,6135.937722
155,44.39757133,38922.99112,37,Female,Master,Single,Clerical,Rent,Suburban,2,0,In-store,Premium,Brand_A,2633.819287
156,65.22332749,52905.1078,14,Male,Bachelor,Single,Craftsman,Rent,Suburban,3,2,In-store,Basic,Brand_B,7404.344666
157,14.54549213,46644.91814,86,Male,High School,Divorced,Clerical,Mortgage,Suburban,2,0,Online,Basic,Brand_A,5000.330256
158,52.78329668,70251.744,38,Male,High School,Married,Executive,Mortgage,Rural,0,1,Both,VIP,Brand_A,3665.431155
159,25.06566073,77338.43653,49,Male,Bachelor,Single,Others,Mortgage,Urban,4,1,In-store,VIP,Brand_B,6481.186123
160,44.56897075,87585.71086,26,Female,High School,Single,Service,Rent,Suburban,1,0,Online,VIP,Brand_A,5729.546553
161,34.22380909,61513.96684,49,Male,Master,Single,Service,Mortgage,Suburban,2,0,Both,VIP,Brand_A,5614.756921
162,31.16328366,56929.78744,80,Male,Bachelor,Single,Others,Mortgage,Suburban,1,1,In-store,Premium,Brand_C,6941.880368
163,54.537193,46779.96633,2,Male,PhD,Divorced,Others,Own,Rural,0,0,In-store,VIP,Brand_C,10404.26929
164,25.74256368,45884.36811,56,Male,High School,Divorced,Executive,Rent,Rural,0,2,Both,Basic,Brand_A,3503.109632
165,19.75435317,66468.84366,91,Male,PhD,Married,Technician,Own,Urban,0,0,Both,VIP,Brand_B,2849.43109
166,23.14601411,74919.53546,95,Female,High School,Single,Clerical,Rent,Rural,4,0,Both,VIP,Brand_C,7003.998109
167,40.83642811,72006.06098,76,Female,Bachelor,Divorced,Craftsman,Rent,Urban,3,1,Online,Premium,Brand_C,7445.45346
168,19.80546647,35717.81994,37,Male,Master,Married,Sales,Own,Suburban,4,2,Both,Premium,Brand_C,4620.870384
169,47.26165365,54446.72605,45,Female,Bachelor,Divorced,Professional,Mortgage,Rural,3,2,Online,VIP,Brand_B,5099.379221
170,38.23652465,75114.35961,45,Male,Master,Divorced,Service,Rent,Suburban,4,0,Both,Premium,Brand_A,6566.23409
171,32.16020048,57247.12483,8,Male,High School,Single,Service,Own,Urban,2,0,In-store,Basic,Brand_C,8130.207767
172,47.34267267,60620.07149,84,Male,Master,Single,Clerical,Mortgage,Suburban,4,2,Both,Premium,Brand_B,5578.261617
173,42.13092695,76332.7128,94,Male,High School,Married,Professional,Rent,Urban,0,2,Both,VIP,Brand_A,6673.562053
174,36.56986739,65060.70725,84,Male,PhD,Married,Technician,Rent,Rural,1,0,Both,Premium,Brand_C,3308.031109
175,35.12469747,33783.39137,45,Male,High School,Single,Professional,Rent,Rural,1,2,In-store,VIP,Brand_C,7277.928202
176,39.32158284,87018.546,38,Male,Bachelor,Single,Executive,Mortgage,Suburban,2,2,In-store,Premium,Brand_A,402.9646205
177,30.43567337,71949.12793,62,Female,High School,Married,Clerical,Own,Rural,0,0,Both,VIP,Brand_C,6931.836168
178,36.75272575,37036.309,5,Female,High School,Single,Sales,Own,Urban,3,0,In-store,VIP,Brand_A,8800.306893
179,25.82168286,61719.35032,86,Female,PhD,Divorced,Craftsman,Mortgage,Rural,2,0,Online,VIP,Brand_C,4375.251518
180,56.16826817,24041.89467,92,Female,Bachelor,Single,Executive,Rent,Urban,4,2,Both,Basic,Brand_C,10187.05623
181,18.34998097,58179.19138,90,Male,High School,Divorced,Executive,Own,Rural,1,0,Online,Premium,Brand_C,998.0643968
182,52.1220635,39620.79161,12,Female,Bachelor,Divorced,Professional,Mortgage,Suburban,2,2,In-store,Basic,Brand_B,4951.60653
183,27.42769219,52769.58702,17,Male,High School,Divorced,Clerical,Rent,Urban,2,2,Both,Basic,Brand_A,3910.515586
184,35.32737678,49480.78351,96,Male,Bachelor,Single,Others,Own,Rural,4,2,Both,Basic,Brand_A,1406.853709
185,42.41337426,53843.80354,64,Female,Bachelor,Divorced,Service,Mortgage,Rural,0,2,In-store,VIP,Brand_B,6700.330502
186,47.79781687,79995.91459,89,Male,Master,Married,Others,Mortgage,Suburban,0,1,Online,Basic,Brand_A,4001.666226
187,45.00388888,70353.25926,30,Male,High School,Married,Sales,Rent,Rural,3,0,Both,Premium,Brand_C,1519.434529
188,32.97146598,69148.97687,88,Female,PhD,Divorced,Technician,Mortgage,Urban,0,2,Both,VIP,Brand_B,6741.610746
189,29.48191962,53311.72678,44,Male,Bachelor,Divorced,Clerical,Mortgage,Rural,2,0,Online,VIP,Brand_C,7276.140122
190,45.0652669,56573.62321,83,Male,Master,Married,Sales,Own,Rural,0,0,Both,Premium,Brand_A,2374.702802
191,33.47009766,92259.10528,6,Female,High School,Divorced,Executive,Own,Urban,4,2,In-store,Premium,Brand_A,6855.915948
192,43.29425585,84824.69103,2,Female,Master,Single,Craftsman,Mortgage,Rural,1,2,Online,Basic,Brand_A,6056.342446
193,29.50385831,42221.749,29,Male,Bachelor,Divorced,Clerical,Own,Urban,1,2,In-store,Premium,Brand_A,4951.665709
194,17.92465311,74053.37161,66,Male,PhD,Divorced,Service,Mortgage,Suburban,2,2,Online,Premium,Brand_B,5165.156332
195,34.42693809,59060.56031,81,Female,PhD,Divorced,Sales,Rent,Urban,0,0,In-store,Premium,Brand_A,5183.434707
196,18.69053164,41904.71242,61,Female,Bachelor,Divorced,Executive,Mortgage,Urban,0,1,Both,Basic,Brand_B,4873.021075
197,17.94512125,38773.91994,88,Female,Bachelor,Single,Clerical,Own,Rural,4,2,Both,Basic,Brand_C,4494.213388
198,55.29130933,85474.18605,98,Female,Master,Married,Service,Own,Rural,4,2,Online,Basic,Brand_B,2162.979247
199,34.05580797,82649.72952,75,Male,High School,Married,Professional,Rent,Rural,0,2,Online,Premium,Brand_C,4059.541089
200,54.21783586,24535.35577,52,Female,High School,Married,Clerical,Own,Suburban,4,0,Online,VIP,Brand_B,7253.970226
201,36.39048756,71881.07629,31,Male,PhD,Married,Professional,Rent,Urban,0,1,In-store,Basic,Brand_C,8080.487504
202,22.57160689,68392.18794,83,Male,High School,Married,Craftsman,Mortgage,Rural,1,0,Both,Premium,Brand_B,4877.908439
203,37.05728654,52623.78954,58,Female,Bachelor,Single,Executive,Rent,Urban,1,1,Both,VIP,Brand_B,4858.773487
204,40.78437306,51219.85205,12,Male,PhD,Single,Technician,Rent,Rural,3,2,In-store,VIP,Brand_C,7047.912232
205,44.93501911,43694.98246,58,Female,Bachelor,Divorced,Professional,Mortgage,Rural,1,2,Both,Basic,Brand_A,3819.268711
206,50.5230859,62789.95944,51,Male,PhD,Married,Sales,Mortgage,Urban,4,2,Online,Basic,Brand_A,3036.648824
207,41.83238951,41255.86932,48,Female,PhD,Divorced,Craftsman,Rent,Suburban,0,0,Online,Basic,Brand_C,3897.327119
208,22.34549168,86522.86239,68,Female,Master,Single,Service,Mortgage,Suburban,2,2,Online,Premium,Brand_C,4623.707361
209,33.10874844,70566.24908,12,Female,Bachelor,Divorced,Craftsman,Own,Suburban,1,0,Online,Premium,Brand_C,4112.671056
210,12.6624701,39424.71823,82,Female,High School,Divorced,Technician,Own,Urban,2,0,Both,Premium,Brand_C,3218.375873
211,45.6153159,82983.39669,36,Male,High School,Single,Sales,Own,Rural,3,0,Both,VIP,Brand_C,4630.339014
212,45.94108391,25880.54662,51,Male,PhD,Divorced,Craftsman,Own,Urban,4,0,Online,Premium,Brand_C,10098.77009
213,47.21101987,4090.150231,47,Male,PhD,Single,Technician,Rent,Rural,4,2,Online,Basic,Brand_C,5324.781917
214,38.38691951,25973.13758,79,Female,PhD,Divorced,Others,Own,Urban,0,0,In-store,Basic,Brand_A,4905.903429
215,36.64825444,61969.35395,7,Female,Master,Divorced,Service,Own,Urban,3,1,In-store,Basic,Brand_A,6957.681131
216,39.06216805,53165.29618,63,Male,Master,Divorced,Clerical,Own,Rural,4,0,Online,VIP,Brand_C,2355.374153
217,28.42605693,89477.44049,83,Male,High School,Married,Executive,Mortgage,Rural,4,2,Both,Basic,Brand_C,7700.542411
218,39.06040259,99904.66455,18,Female,High School,Married,Clerical,Rent,Urban,2,2,Both,Premium,Brand_A,5078.819072
219,24.33769668,-23180.52349,1,Male,Bachelor,Divorced,Others,Own,Urban,0,1,Both,Premium,Brand_A,7594.202226
